Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2019-12-10 00:00:00-05:00,8.0,8.229999542236328,7.940000057220459,8.029999732971191,142200,0,0,,,,,,,,,,9.15999984741211
2019-12-11 00:00:00-05:00,8.0600004196167,8.149999618530273,7.949999809265137,8.09000015258789,115900,0,0,0.007472032579320942,1.007472032579321,,,,,,,,8.890000343322754
2019-12-12 00:00:00-05:00,8.079999923706055,8.399999618530273,8.079999923706055,8.1899995803833,144300,0,0,0.012360868468392017,1.0199252618596175,,,,,,,,8.970000267028809
2019-12-13 00:00:00-05:00,8.0,8.819999694824219,7.96999979019165,8.640000343322754,367500,0,0,0.05494515091518393,1.0759652092947027,,,,,,,,8.949999809265137
2019-12-16 00:00:00-05:00,8.579999923706055,8.789999961853027,8.460000038146973,8.520000457763672,223600,0,0,-0.013888875091517927,1.0610212628999898,,,,,,,,8.859999656677246
2019-12-17 00:00:00-05:00,8.510000228881836,8.640000343322754,8.350000381469727,8.5,214800,0,0,-0.0023474714423807885,1.0585305457855732,,,,,,,,8.6899995803833
2019-12-18 00:00:00-05:00,8.529999732971191,8.789999961853027,8.520000457763672,8.739999771118164,182000,0,0,0.028235267190372282,1.0884184385749993,,,,,,,,8.829999923706055
2019-12-19 00:00:00-05:00,8.739999771118164,8.800000190734863,8.59000015258789,8.619999885559082,154400,0,0,-0.013729964382336535,1.0734744921802861,,,,,,,,8.739999771118164
2019-12-20 00:00:00-05:00,8.680000305175781,8.6899995803833,8.300000190734863,8.319999694824219,248500,0,0,-0.03480280681180148,1.036114566811539,,,,8.379999876022339,,,,8.609999656677246
2019-12-23 00:00:00-05:00,8.380000114440918,8.520000457763672,8.279999732971191,8.359999656677246,174800,0,0,0.0048076878990646055,1.0410958822764433,,,,8.384999752044678,,,,8.399999618530273
2019-12-24 00:00:00-05:00,8.380000114440918,8.380000114440918,8.170000076293945,8.359999656677246,113000,0,0,0.0,1.0410958822764433,,,,8.394999742507935,,,,8.300000190734863
